w1,w2,examples
['ВНУТРЬ'],['НАРУЖУ'],"[['Все двери в хорошие святые покои отворяются внутрь. Наружу, напролом, отворяются только двери к дьяволу.', ['внутрь'], ['Наружу']]]"
['ВОЕННЫЙ'],['МИРНЫЙ'],"[['В военной обстановке проводить хлебную монополию было легко. В мирной обстановке, теперь, — это не так.', ['военной'], ['мирной']], ['Но характерно, что эту‘ненависть к «цивилизации» он переносит из обстановки военной в собственную мирную, на предметы вполне невинные.', ['военной'], ['мирную']]]"
['ВОЗВРАШАТЬ'],['ОТНИМАТЬ'],"[['Оно (государство) не имеет права отнимать то, чего неможет вернуть, если захочет.', ['вернуть'], ['отнимать']]]"
['ВОЗВЫШАТЬ'],['УНИЖАТЬ'],"[['Пусть не думают, что я возвышаю или унижаю себя для того, чтоб привлечь к себе внимание людей, — у нищих не просят милостыни.', ['возвышаю'], ['унижаю']], ['Слава Кутузова не имеет нужды в похвале чьей бы то ни было, а мнение стихотворца не может ни возвысить, ни унизить того, кто низложил Наполеона.', ['возвысить'], ['унизить']], ['Знание человека возвышает, а невежество— унижает.', ['возвышает'], ['унижает']], ['Унижая других, себя не возвысишь.', ['возвысишь'], ['Унижая']]]"
['ВОЗМОЖНО'],['НЕВОЗМОЖНО'],"[['— Возможно, если сумеешь выйти замуж за какого-нибудь графа, и невозможно, если не сумеешь.', ['возможно'], ['невозможно']], ['Знакомство с естественными науками, с научным методом всегда держало меня настороже, и я старался, где это было возможно, соображаться с научными данными, а где невозможно — предпочитал не писать вовсе.', ['возможно'], ['невозможно']]]"
['ВОЗМОЖНОСТЬ'],['НЕВОЗМОЖНОСТЬ'],"[['Как ни неуместно прямое обращение к начальнику губернии по такому ничтожному, в сущности своей, делу, я нахожусь вынужденным это сделать, так как с решением этого дела связан для меня и для моего семейства вопрос о возможности или невозможности безопасного пребывания в деревне.', ['возможности'], ['невозможности']], ['Я точно знал, что она (точка опоры) во мне самом, в каких-то таких моих возможностях, которые больше моих невозможностей.', ['возможностях'], ['невозможностей']], ['Сколь возможностей Вы унесли, И невозможностей — сколько? — В ненасытимую прорву земли, Двадцатилетняя полька!', ['возможностей'], ['невозможностей']]]"
['ВОЗМОЖНЫЙ'],['НЕВОЗМОЖНЫЙ'],"[['Лужин старался понять, случайно ли отец заговорил о шахматах или подсмотрел что-нибудь, — и самое простое объяснение не приходило ему в голову, как иногда, при решении задачи, ключом к ней оказывается ход, который представляется запретным, невозможным, естественным образом выпадающим из ряда возможных ходов.', ['возможных'], ['невозможным']], ['Возможный вариант — невозможный вариант.', ['возможный'], ['невозможный']], ['Возможная ситуация— невозможная ситуация.', ['возможная'], ['невозможная']]]"
['ВОЗРОЖДЕНИЕ'],['УМИРАНИЕ'],"[['И уже, смотрите, — в годину величайшей соблазнительности, величайшего крушения — уже началось и совершается незримое возрождение в зримом умирании.', ['возрождение'], ['умирании']]]"
['ВОЙНА'],['МИР'],"[['Не в войне найдем счастье, а в мире.', ['войне'], ['мире']], ['Еще теплы стволы орудий И кровь не всю впитал песок, Но мир настал. Вздохните, люди, Переступив войны порог.', ['войны'], ['мир']], ['Мир строит, война разрушает.', ['война'], ['Мир']], ['Дружно за мир стоять — войне не бывать.', ['войне'], ['мир']]]"
['ВОЛЬНО'],['НЕВОЛЬНО'],"[['Они в самом подлинном смысле слова боролись с гордыней тиранов (или тех, кто вольно или невольно устремлялся к тирании) путем своей трагедии.', ['вольно'], ['невольно']], ['Очень многие ученые вольно или невольно предоставляют популяризаторам оповестить общество об их трудах.', ['вольно'], ['невольно']], ['При описании страданий нас подстерегают опасности; вольно или невольно впасть в душевное самоистязание, в жажду мученичества, в пафос страданий.', ['вольно'], ['невольно']]]"
['ВОЛЬНЫЙ'],['НЕВОЛЬНЫЙ'],"[['Достаточно послушать воспоминаний, чтобы простить рассказчику все его прегрешения, вольные или невольные, увлечься и позавидовать.', ['вольные'], ['невольные']], ['Простите мне все вольные или невольные прегрешения по отношению к Вам.', ['вольные'], ['невольные']], ['Она встала, словно хотела куда-то выйти, — в этом вольном или невольном движении было так много выразительности, что Арусяк от неожиданности косить перестала.', ['вольном'], ['невольном']], ['Они работают тому же Богу, как имы, только мы можем верить тому, и то мы вольные работники, а они невольные. ', ['вольные'], ['невольные']], ['На вольного воля, на невольного охота (прихоти).', ['вольного'], ['невольного']]]"
['ВОСТОК'],['ЗАПАД'],"[['Нужны мне разом юг и север, И подвиг третий с нами наравне, Восток и запад, лес и степь, Встает, свершенный', ['Восток'], ['запад']], ['Моря и каменные горы, в нынешние сроки, и вольный плес разливных рек. Твоя победа в праведной войне. На западе твоем и на востоке.', ['востоке'], ['западе']], ['Держать курс на восток — держать курс на запад.', ['восток'], ['запад']], ['Потом веский удар прокатился с востока и, отраженный горами, вернулся обратно на запад и стих.', ['востока'], ['запад']], ['На запад? — Так, значит, обратно? — Зачем же, — как раз на восток.', ['восток'], ['запад']], ['Тогда мы ушли на восток, Теперь мы уходим на запад.', ['восток'], ['запад']]]"
['ВОСТОРГ'],['НЕГОДОВАНИЕ'],"[['И с восторгом, с негодованием, с презрением, зная, что ей за это ничего не будет, она сказала, отчетливо выговаривая каждое слово; — Подите прочь, болван!', ['восторгом'], ['негодованием']]]"
['ВОСТОРГАТЬСЯ'],['НЕГОДОВАТЬ'],"[['И, ставя эти три знака (восклицательные),он восторгался, негодовал, радовался, кипел гневом.', ['восторгался'], ['негодовал']]]"
['ВОСХИЩАТЬСЯ'],['УЖАСАТЬСЯ'],"[['Для возбуждения желчи читаю Ницше. Стоит прочесть, чтобы ужаснуться перед тем, чем восхищаются.', ['восхищаются'], ['ужаснуться']]]"
['ВОСХИЩЕНИЕ'],['ОТВРАЩЕНИЕ'],"[['Это идейное содержание сплетено у художника неразрывным образом с его эмоциями, то есть с тем восхищением или отвращением и т.п. чувствами, которыми для него самого изображаемые им образы одеты.', ['восхищением'], ['отвращением']]]"
"['ВОСХОД', 'ВОСХОД']","['ЗАКАТ', 'ЗАХОД']","[['Летом с восхода до захода солнца сиживал на завалинке, чертил костылем землю, угнув голову.', ['восхода'], ['захода']], ['Признавать и руководствоваться в жизни можно только тем, что одинаково понятно и известно всем людям и что всегда повторяется, как падение брошенного камня вниз и восход и заход солнца и т.п., и только такими естественными явлениями можно и надо руководствоваться.', ['восход'], ['заход']], ['Все выше, все выше — высот. Последнее злато. Сновидческий голос: Восход Навстречу Закату.', ['Восход'], ['Закату']], ['— И каждый дом и каждый сад В ряду — большой и малый. И дня восход и дня закат Над темным лесом — алый.', ['восход'], ['закат']]]"
['ВОСХОД'],['ЗАКАТ'],"[['Безвестный край. Пожитков груда, Ночлег бездомный. Плач ребят. И даль Сибири, что отсюда Лежит с восхода на закат.', ['восхода'], ['закат']], ['Снова версты в крике паровозном Хлынули с заката на восход.', ['восход'], ['заката']]]"
['ВПЕРЁД'],['НАЗАД'],"[['Подлинное национальное сознание может бытьлишь творческим, оно обращено вперед, а не назад.', ['вперед'], ['назад']], ['Она громче захохотала, взяла его под руку и потянулась вперед. Он попятился назад.', ['вперед'], ['назад']], ['Ночь проходит, нет дороги, Ни вперед и ни назад.', ['вперед'], ['назад']], ['Вперед дорога — не назад. Вперед веселый труд; — Вперед и плечи не болят, И сапоги не трут.', ['Вперед'], ['назад']], ['Иди вперед, а оглядывайся назад.', ['вперед'], ['назад']]]"
"['ВПЕРЕДИ', 'ВПЕРЕДИ']","['СЗАДИ', 'ПОЗАДИ']","[['Уже вода реки впереди и сзади парохода потемнела и кажется густой, как масло, потемнела и яркая зелень кустарника, пышным ковром покрывшая крутые скаты горного берега.', ['впереди'], ['сзади']], ['Деньбыл жаркий, небо безоблачно, впереди и сзади нас извивалась дорога и уходила в дали, завешенные знойной мглой.', ['впереди'], ['сзади']], ['Чохов ехал на своей машине впереди, а американец на своей сзади.', ['впереди'], ['сзади']], ['Я много жил в гостиницах, Слезал на дальних станциях, Что впереди раскинется — Все позади останется.', ['впереди'], ['позади']]]"
['ВПЕРЕДИ'],['ПОЗАДИ'],"[['Несмотря на мои «ночные страхи», я (Катя Татаринова) жила с таким чувством, как будто все тяжелое, скучное и неясное осталось позади , впереди— только интересное и новое, от которого замирает сердце и становится весело, и легко, и немного страшно.', ['впереди'], ['позади']], ['—Сергей Тимофеевич, — заговорил Федор Лукич — надо тебе подумать о женушке Война позади, а впереди красивая жизнь.', ['впереди'], ['позади']]]"
['ВРАГ'],['ДРУГ'],"[['И так все смешалось, кислое с пресным, что уже конвой зэкам не враг, а друг.', ['враг'], ['друг']], ['После бессонной ночи слабеют руки И глубоко равнодушен и враг, и друг.', ['враг'], ['друг']], ['Врага уничтожить — большая заслуга, Но друга спасти — это высшая честь.', ['Врага'], ['друга']], ['Неверный друг — опасный враг.', ['враг'], ['друг']], ['Трусливый друг опаснее врага, ибо врага опасаешься, а на друга опираешься.', ['врага'], ['друг']], ['Еще раз стоит вспомнить, что простота — не друг упрощенности, а ее враг, простота художника борется с упрощенностью ремесленников популяризации.', ['враг'], ['друг']], ['Мой верный друг, мой враг коварный! Мой царь! мой раб, родной язык! Мои стихи — как дым алтарный! Как вызов яростный — мой крик!', ['враг'], ['друг']], ['То превращается вода Из друга во врага.', ['врага'], ['друга']], ['Родной мороз Нам будет другом, А злому недругу Врагом!', ['Врагом'], ['недругу']]]"
['ВРАЖДА'],['ДРУЖБА'],"[['В том внешнем, Что в тебе находит взор, Нет ничего, что хочется исправить. Вражды и дружбы общий приговор Не может к правде черточки прибавить.', ['Вражды'], ['дружбы']], ['Дружба с враждою близко живут.', ['враждою'], ['Дружба']]]"
['ВРАЖЕСКИЙ'],['ДРУЖЕСКИЙ'],"[['Для нас более важно определить — враг или друг перед нами, в какой степени враг и в какой степени друг, какие элементы здесь вражеские и какие дружеские.', ['вражеские'], ['дружеские']]]"
['ВРЕД'],['ПОЛЬЗА'],"[['Что цивилизация,помимо пользы,принесла человечеству и страшный вред, никто не станет сомневаться.', ['вред'], ['пользы']], ['К каким результатам привела моя многолетняя борьба за книгу, немне судить. Принесла она вред или пользу, — об этом пусть судит общество.', ['вред'], ['пользу']], ['Некрасов же поставил свою оценку в зависимость от вреда или пользы, приносимых железной дорогой крестьянам.', ['вреда'], ['пользы']]]"
['ВРЕДИТЬ'],['ПОМОГАТЬ'],"[['Чем данное произведение искусства является для нас, чем оно может помочь или повредить нам.', ['помочь'], ['повредить']]]"
['ВРЕДНО'],['ПОЛЕЗНО'],"[['Полезно то, что просвещает умы, что закаляет характер, что создает дружественное, любовное отношение между людьми, а вредно все, этому противоположное.', ['вредно'], ['Полезно']], ['Хочется выпить, ну и пей, а нечего там философствовать, вредно это или полезно.', ['вредно'], ['полезно']]]"
['ВРЕДНЫЙ'],['ПОЛЕЗНЫЙ'],"[['Предметы окружающего мира могут иметь для человека положительное или отрицательное значение, быть полезными или вредными, удовлетворять какие-то потребности или, наоборот,противодействоватьих удовлетворению.', ['вредными'], ['полезными']], ['Есть приключенческая литература хорошая, полезная, а есть плохая и вредная.', ['вредная'], ['полезная']], ['Будет доказано, что прогресс ведет к совершенствованию всех сторон человеческой жизни или что взятые вместе последствия его влияния преобладают добрыми и полезными над дурными и вредными.', ['вредными'], ['полезными']], ['Умение находить, сравнивать, изучать полезное и вредное, красивое и уродливое вне себя и в самом себе — вот основная сила человека.', ['вредное'], ['полезное']]]"
['ВРЕДНЫЙ'],['ХОРОШИЙ'],"[['Вредный ребенок — хороший ребенок.', ['Вредный'], ['хороший']], ['Вредный характер — хороший характер. ', ['Вредный'], ['хороший']], ['Нелюби, богатый, — бедную, Не люби, ученый, — глупую, Не люби, румяный, — бледную, Не люби, хороший, — вредную: Золотой — полушку медную!', ['вредную'], ['хороший']]]"
['ВРЕМЕННЫЙ'],['ПОСТОЯННЫЙ'],"[['Между маяком и радиостанцией проведена телефонная линия, и не временная, а постоянная на столбах.', ['временная'], ['постоянная']], ['Все постоянные сооружения — каналы, арыки — прокладываются при помощи инструментальной съемки орошаемого пространства. Но, кроме них, в поливном хозяйстве существует целая сеть сооружений временных — поливных борозд, валиков.', ['временных'], ['постоянные']]]"
['ВСЕ'],['НИКТО'],"[['Твой нежный сад запущен потому, что он доступен всем и никому.', ['всем'], ['никому']], ['Все видят, как веселюсь, а никто не видит, как плачу.', ['Все'], ['никто']], ['Кто всем угодлив, тот никому не пригодлив.', ['всем'], ['никому']]]"
['ВСЁ'],['НИЧТО'],"[['Он может дать всё. Но мне ничего не надо было.', ['всё'], ['ничего']], ['Ему надо или не говорить ничего, или говорить всё.', ['всё'], ['ничего']], ['Жить стоит только так, чтобы предьявлять безмерные требования к жизни: всё или ничего.', ['всё'], ['ничего']], ['Меньше Блок не хотел. Никаких половинных даров: всё или ничего.', ['всё'], ['ничего']]]"
['ВСПОМИНАТЬ'],['ЗАБЫВАТЬ'],"[['Сейчас, пропуская хвост колонны, он вспомнил об этом и тотчас же снова забыл.', ['вспомнил'], ['забыл']], ['Это было давным-давно, я уже забыл об этом. А теперь, к счастью, вспомнил.', ['вспомнил'], ['забыл']], ['Помимо прочего, при этом Я полон радости побыть С самим собою, с белым светом, Что в жизни вспомнить, что забыть.', ['вспомнить'], ['забыть']], ['Старых друзей забывают, да при горе вспоминают.', ['вспоминают'], ['забывают']]]"
"['ВСПЫХИВАТЬ', 'ВСПЫХИВАТЬ', 'ВСПЫХИВАТЬ', 'ВСПЫХИВАТЬ']","['ГАСНУТЬ', 'ПОГАСАТЬ', 'УГАСАТЬ', 'ПОТУХАТЬ']","[['Желтые искры вспыхивают и гаснут по всей истерзанной долине.', ['вспыхивают'], ['гаснут']], ['Три электрифицированные надписи то вспыхивали, то гасли высоко над площадью.', ['вспыхивали'], ['гасли']], ['Несколько раз дом вздрагивал от разрывов бомб, где-то невдалеке вспыхивали и погасали языки пламени.', ['вспыхивали'], ['погасали']], ['Одинокий, точно заблудившийся в темной дали моря, огонь то ярко вспыхивал, то угасал, как бы изнемогая.', ['вспыхивал'], ['угасал']], ['Последний курил носогрейку; огонек носогрейки двигался в потемках, потухал и вспыхивал.', ['вспыхивал'], ['потухал']], ['Далеко впереди него мелькали огоньки. Потухая и вспыхивая, они двигались по одному направлению.', ['вспыхивая'], ['Потухая']]]"
['ВСПЫХИВАТЬ'],['ГАСНУТЬ'],"[['Там и там, в просторах заливных лугов, молнией вспыхнет в луче восходящего солнца и вдруг погаснет стальное лезвие косы.', ['вспыхнет'], ['погаснет']], ['В последний раз багрово вспыхнула над лесом вершина самой высокой сосны и погасла.', ['вспыхнула'], ['погасла']]]"
"['ВСПЫХИВАТЬ', 'ВСПЫХИВАТЬ']","['ГАСНУТЬ', 'ПОГАСАТЬ']","[['Матрена молчала, молчала долго, демонстративно не отвечая на вопросы мужа, гнев которого гас так же быстро, как и вспыхивал.', ['вспыхивал'], ['гас']], ['Перед смертью вдруг ярко вспыхивают воспоминания о прожитом, чтобы вслед за тем быстро погаснуть.', ['вспыхивают'], ['погаснуть']], ['На нем (на лице) выразилось и усилие воспоминания,и недоумение, и тревога, и радость, мгновенно вспыхнувшая и так же мгновенно погасшая, заменившаяся сухой суровостью.', ['вспыхнувшая'], ['погасшая']], ['Разговоры соседей, то вспыхивавшие, то погасавшие всю дорогу.', ['вспыхивавшие'], ['погасавшие']]]"
"['ВСТРЕЧА', 'ВСТРЕЧА']","['РАЗЛУКА', 'РАССТАВАНЬЕ']","[['Крик разлук и встреч — Ты, окно в ночи!', ['встреч'], ['разлук']], ['И нет нелепей муки: Ему ли, мне ль свисток дадут, И вот семнадцать лет разлуки И этой встречи пять минут!', ['встречи'], ['разлуки']], ['Ты со мной — и каждый миг мне дорог. Может, впереди у нас года, Но придет разлука, за которой Не бывает встречи никогда.', ['встречи'], ['разлука']], ['Когда оно не просто ожиданье Чего-то, что еще, быть может, вздор, А всех разлук и встреч чередованье, За жизнь мою любви с войною спор.', ['встреч'], ['разлук']], ['До свиданья, друг мой, до свиданья. Милый мой, ты у меня в груди. Предназначенное расставанье Обещает встречу впереди.', ['встречу'], ['расставанье']]]"
['ВСТРЕЧАТЬ'],['ПРОВОЖАТЬ'],"[['— Очень, очень рад, господа! — говорил генерал, и на этот раз искренно (вероятно, оттого, что, провожая гостей, люди бывают гораздо искреннее и добрее, чем встречая).', ['встречая'], ['провожая']], ['Кто вместе с пилотом пил спирт и воду, Кто с ним пополам по Москве скучал, Кто в самую дьявольскую погоду Сто раз провожал его и встречал.', ['встречал'], ['провожал']], ['По одежде встречают, по уму провожают.', ['встречают'], ['провожают']]]"
['ВСТРЕЧАТЬСЯ'],['РАСХОДИТЬСЯ'],"[['Мы с вами похожи на двух людей, которые идут в разные стороны, встретились и разошлись, и чем дальше идут, тем больше расходятся, так что приходит время, когда они уже не могут или с трудом могут слышать друг друга.', ['встретились'], ['расходятся']]]"
['ВСТРЕЧАТЬСЯ'],['РАССТАВАТЬСЯ'],"[['Прости!-не жалей безрассудно, О краткой любви не жалей: Расстаться казалось нам трудно, Но встретиться было б трудней.', ['встретиться'], ['Расстаться']]]"
"['ВСХОДИТЬ', 'ВСХОДИТЬ', 'ВСХОДИТЬ']","['ЗАХОДИТЬ', 'САДИТЬСЯ', 'ЗАКАТЫВАТЬСЯ']","[['Солнце всходит — старым радость, а заходит — молодым сладость.', ['всходит'], ['заходит']], ['Не люблю читать про то, как солнце садилось или всходило, и вообще про природу.', ['всходило'], ['садилось']], ['Каждый день солнышко всходит, только не с той стороны, куда закатилось.', ['всходит'], ['закатилось']]]"
['ВЧЕРАШНИЙ'],['ЗАВТРАШНИЙ'],"[['Завтрашних спящих войн Вождь — и вчерашних, Молча стоят двойной Черною башней.', ['вчерашних'], ['Завтрашних']]]"
['ВЫГОДА'],['НЕВЫГОДА'],"[['Знаю, что тяжело переносить тюремное заключение,но думаю, что, как и все, что случается в жизни с верующим человеком, тюрьма имеет свои выгоды,выкупающие ее невыгоды.', ['выгоды'], ['невыгоды']], ['Обмену книжному я, разумеется, всей душой сочувствую и думаю, что в деле духовном нельзя считаться, и нет таких весов, на которых бы можно было бы вешать выгоды и невыгоды.', ['выгоды'], ['невыгоды']], ['Выгода устной передачи та, что слушатель чувствует душу говорящего, но тут же и невыгода та, что очень часто пустые говоруны, как, например, адвокаты, одаренные даром слова, увлекают людей не разумностью речи, а мастерством ораторского искусства, чего нет при книге; выгода другая устной передачи та, что непонявший может переспросить, зато невыгода та, что непонимающие, часто нарочно непонимающие, люди могут спрашивать то, что не нужно, и перебивать ход мысли, чего тоже нет при книге.', ['выгода'], ['невыгода']]]"
['ВЫМЫШЛЕННЫЙ'],['ДЕЙСТВИТЕЛЬНЫЙ'],"[['Вымышленный случай — действительный случай.', ['Вымышленный'], ['действительный']], ['Вымышленная история — действительная история.', ['Вымышленная'], ['действительная']]]"
"['ВЫСОКИЙ', 'ВЫСОКИЙ', 'ВЫСОКИЙ', 'ВЫСОКИЙ']","['НИЗКИЙ', 'НИЗЕНЬКИЙ', 'НИЗКОРОСЛЫЙ', 'МАЛЕНЬКИЙ']","[['Высокий дом — низкий дом.', ['Высокий'], ['низкий']], ['Позади высокого человека стоял второй, низенький, в рваной кожанке и с винтовкой.', ['высокого'], ['низенький']], ['Один из них был низкорослый красноармеец, в потертой кожаной куртке поверх гимнастерки и с винтовкой на плече. Другой — высокий, красивый человек лет сорока.', ['высокий'], ['низкорослый']], ['Один — высокий, красивый брюнет в поношенной медвежьей шубе и цилиндре, другой — маленький рыженький человек в рыжем пальто с белыми костяными пуговицами.', ['высокий'], ['маленький']], ['Они смотрели друг другу в глаза — высокий, статный баварец и маленький русский солдат.', ['высокий'], ['маленький']]]"
['ВЫСОКИЙ'],['МАЛЫЙ'],"[['У гиляка крепкое, коренастое сложение; он среднего, даже малого роста. Высокий рост стеснял бы его в тайге.', ['Высокий'], ['малого']]]"
['ВЫСОКИЙ'],['НИЗКИЙ'],"[['Скопляется вода только в низких местах, а на высоких удержаться не может, потому что она жидкая.', ['высоких'], ['низких']], ['Выращивая растение в темноте, при постоянной влажности, но изменяя температуру, мы узнаем, что при более высокой температуре оно будет расти быстрее, при низкой — слабее.', ['высокой'], ['низкой']], ['Высокие цены — низкие цены.', ['Высокие'], ['низкие']], ['Высокий сорт — низкий сорт.', ['Высокий'], ['низкий']], ['Высокая оценка — низкая оценка.', ['Высокая'], ['низкая']], ['Как будто нарочно выбрали эти два типа, чтобы еще в детском сердце Некрасова укоренить пафос дистанций между высокой дворянской гуманностью и низким дворянским тиранством.', ['высокой'], ['низким']], ['Вот уж поистине для него (Давыдова) не было высоких и низких, больших и малых жанров, а было искусство, которое всегда и везде прежде всего было подлинным искусством.', ['высоких'], ['низких']], ['Мнениями высок, да делами низок.', ['высок'], ['низок']], ['Высокая культура — низкая культура.', ['Высокая'], ['низкая']]]"
['ВЫСОКО'],['НИЗКО'],"[['Мне нужно знать: какие берега Дона, Мертвого Донца, Кутерьмы там — где высоко, где низко.', ['высоко'], ['низко']]]"
['ВЫСОКО'],['НИЗКО'],"[['Мать высоко замахивается, да не больно бъет, мачеха низко замахивается, да больно бъет.', ['высоко'], ['низко']]]"
['ВЫСШИЙ'],['НИЗШИЙ'],"[['Своеобразие (России) более всего должно быть обнаружено на высших, а не низших стадиях развития.', ['высших'], ['низших']], ['Область поэзии бесконечна, как жизнь, но все предметы поэзии предвечно распределены по известной иерархии и смешение низших с высшими или принятие низшего за высший есть один из главных камней преткновения.', ['высшими'], ['низших']], ['Признавать одних людей высшими, а других низшими значит подражать церковникам с их митрополитами, архиереями и всякими другими чинами. По учению же Христа вселюди равны, и нет между ними ни низших, ни высших.', ['высшими'], ['низшими']], ['Зверино-земное начало в человеке, не привыкшем к духовной работе над собой, к претворению низшей природы в высшую, оказывается предоставленным на произвол судьбы.', ['высшую'], ['низшей']]]"
['ВЫШЕ'],['НИЖЕ'],"[['Весь день татарки приходят стирать белье выше и ниже мельниц.', ['выше'], ['ниже']], ['Тяжело бывает только от того, что поступаем не вполне сообразно с своей совестью, или поступили уже не несообразно с своей совестью, а выше или ниже ее требований.', ['выше'], ['ниже']]]"
['ГАМ'],['ТИШИНА'],"[['Прямо из потемок и речной тишины мы постепенно вплывали в заколдованное царство, полное удушливого дыма, трещащего света и гама.', ['гама'], ['тишины']]]"
['ГАРМОНИЯ'],['ДИСГАРМОНИЯ'],"[['Сколько бы вы людей ни взяли, но если они одарены нормально развитым слухом, музыкальный аккорду всех у них неизбежно и необходимо вызовет ощущение гармонии, а диссонанс — ощущение дисгармонии.', ['гармонии'], ['дисгармонии']]]"
"['ГАРМОНИЯ', 'ГАРМОНИЯ']","['ДИСТАРМОНИЯ', 'ХАОС']","[['Если же не видеть смысла и оправдания человеческих мучений в таинственном и всеблагом «провидении» и в грядущей «божественной гармонии», то всегда остается, мол, лишь пустота, черная бездна анархического неприятия мира, сплошная дисгармония, полный хаос.', ['гармонии'], ['хаос']], ['И вкажущемся хаосе окружавшего его мира он увидел, наконец, величайшие законы мировой гармонии, того созвучия всего и всех в мире, о котором говорили древнегреческие философы.', ['гармонии'], ['хаосе']]]"
['ГАСНУТЬ'],['ЗАЖИГАТЬСЯ'],"[['Несутся по улицам машины, переливаются, гаснут, вновь зажигаются, мелькают огни рекламы,спешит толпа.', ['гаснут'], ['зажигаются']]]"
"['ГИГАНТ', 'ГИГАНТ', 'ГИГАНТ']","['КАРЛИК', 'ЛИЛИПУТ', 'ПИГМЕЙ']","[['Рядом с этим гигантом все остальные кажутся карликами (лилипутами, пигмеями).', ['гигантом'], ['карликами']]]"
"['ГИГАНТ', 'ГИГАНТ']","['КАРЛИК', 'ПИГМЕЙ']","[['Если я хочу изобразить обыкновенного человека, то надобно мне достичь того, чтобы он не представлялся читателю ни карликом и ни гигантом.', ['гигантом'], ['карликом']], ['Шекспир — это гигант, полубог.. Да; но не пигмеем является Сервантес перед гигантом, сотворившим «Короля Лира», но человеком, и человеком вполне.', ['гигант'], ['пигмеем']]]"
"['ГИГАНТСКИЙ', 'ГИГАНТСКИЙ']","['МИКРОСКОПИЧЕСКИЙ', 'КАРЛИКОВЫЙ']","[['Крошечные туфельки — гигантские башмаки.', ['гигантские'], ['Крошечные']], ['И вдумайтесь только, и сравните слабые зачатки, первые проблески революционных попыток во времена Некрасова, с одной стороны, и огромность талантливой личности поэта, с другой, — ив наше время мировой, победоносной, всеобъемлющей, открывающей гигантские перспективы всестороннего творчества революции, с одной стороны, и, в большинстве случаев, прямо-таки микроскопической индивидуальности на высоких каблуках самомнения — с другой. Нужна гигантская и сложная социальная дезинфекция, чтобы вокруг нас и внас самих уничтожить следы того безвременья, того поражения, того безволья, той карликовой обывательщины, тех уродств, которые смешили и печалили Чехова.', ['гигантские'], ['микроскопической']]]"
"['ГИГАНТСКИЙ', 'ГИГАНТСКИЙ']","['МАЛЕНЬКИЙ', 'НЕБОЛЬШОЙ']","[['У нас же каждая польза, даже самая маленькая, связана в конце концов с гигантской полезностью,—именно с социалистическим строительством во всем его целом.', ['гигантской'], ['маленькая']], ['Явления, происходящие в таком гигантском, океаническом резервуаре, дают большие потенции, большие напряжения, чем те, что могут быть замкнуты рамками небольшой страны.', ['гигантском'], ['небольшой']]]"
['ГЛУБИНА'],['МЕЛЬ'],"[['Остановившись на глубине двух сажен, он послал к северу для промера своего помощника; этот на пути своем встречал среди мелей глубины, но они постепенно уменьшались.', ['глубине'], ['мелей']]]"
['ГЛУБИНА'],['ПОВЕРХНОСТНОСТЬ'],"[['В Карениной, как ее играла Лилина, причудливо смешивались отзывчивость и черствость, чуткость и бестактность, независимость и предрассудки, поверхностность и глубина.', ['глубина'], ['поверхностность']], ['Глубина мыслей — поверхностность мыслей.', ['Глубина'], ['поверхностность']], ['Глубина знаний — поверхностность знаний.', ['Глубина'], ['поверхностность']], ['Глубина суждения — поверхностность суждения.', ['Глубина'], ['поверхностность']]]"
['ГЛУБОКИЙ'],['МЕЛКИЙ'],"[['— Хоть бы мелкая, а то она глубокая, уйдемте подальше от речки.', ['глубокая'], ['мелкая']], ['Море окружает Крым с трех сторон: на западе и юге — это глубокое Черное море, на востоке мелкое Азовское, их соединяет неширокий Керченский пролив.', ['глубокое'], ['мелкое']], ['Сначала они пошли по глубокому месту, вдоль камыша Забирая влево, Дымов и Кирюха мало-помалу выбрались на мелкое, и тут ловля пошла настоящая.', ['глубокому'], ['мелкое']], ['Зеленые и оливковые водоросли растут на мелких местах. Бурые лежат глубже на скалах, а на самых глубоких местах растут красные водоросли.', ['глубоких'], ['мелких']]]"
